                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98662,                 1.3542,                 1.0911,                0.97791,                0.96534,                0.99065,                0.82417,                0.66786,                0.41179,                0.95723,               0.003332,               0.003332,               0.003332
                      2,                0.75368,                0.61087,                0.96831,                0.98748,                0.98095,                0.99375,                0.86119,                0.57384,                0.31189,                 0.9094,              0.0066324,              0.0066324,              0.0066324
                      3,                0.73111,                0.57069,                0.95779,                0.98807,                0.98339,                0.99371,                0.86638,                0.56554,                0.30196,                0.90869,              0.0098997,              0.0098997,              0.0098997
                      4,                0.69797,                0.53244,                0.94927,                0.99126,                0.98888,                0.99447,                0.88536,                0.51811,                0.25915,                0.88964,              0.0098515,              0.0098515,              0.0098515
                      5,                0.65293,                0.48303,                0.93497,                 0.9937,                 0.9908,                0.99467,                0.89524,                0.49421,                 0.2369,                0.88338,              0.0098515,              0.0098515,              0.0098515
                      6,                0.62567,                0.45464,                0.92557,                0.99478,                0.99211,                0.99476,                0.90406,                0.47356,                0.22139,                0.87583,               0.009802,               0.009802,               0.009802
                      7,                0.60788,                0.43566,                 0.9198,                0.99468,                0.99314,                0.99475,                0.90922,                0.46198,                0.21272,                0.87162,              0.0097525,              0.0097525,              0.0097525
                      8,                0.59499,                0.42558,                0.91524,                0.99539,                0.99335,                0.99479,                0.91305,                0.45137,                0.20625,                0.86669,               0.009703,               0.009703,               0.009703
                      9,                0.58484,                0.41551,                0.91174,                0.99606,                 0.9936,                0.99483,                0.91644,                0.44369,                0.20071,                0.86319,              0.0096535,              0.0096535,              0.0096535
                     10,                0.57621,                0.40766,                0.90863,                0.99601,                0.99391,                0.99486,                0.91843,                0.43871,                0.19732,                0.86093,               0.009604,               0.009604,               0.009604
                     11,                0.56961,                0.40107,                0.90655,                0.99639,                0.99412,                0.99487,                0.92028,                0.43401,                0.19445,                0.85884,              0.0095545,              0.0095545,              0.0095545
                     12,                0.56352,                0.39624,                0.90448,                0.99624,                0.99452,                0.99487,                0.92164,                0.43068,                0.19231,                0.85735,               0.009505,               0.009505,               0.009505
                     13,                0.55951,                0.39289,                0.90332,                 0.9961,                0.99471,                0.99489,                0.92256,                0.42819,                0.19081,                0.85631,              0.0094555,              0.0094555,              0.0094555
                     14,                0.55401,                0.38864,                0.90058,                0.99619,                0.99493,                0.99489,                0.92333,                0.42608,                0.18955,                0.85537,               0.009406,               0.009406,               0.009406
                     15,                 0.5506,                0.38596,                0.89999,                0.99631,                0.99481,                0.99489,                0.92397,                0.42411,                0.18849,                 0.8545,              0.0093565,              0.0093565,              0.0093565
                     16,                0.54738,                0.38277,                0.89875,                0.99643,                0.99485,                0.99489,                0.92469,                0.42237,                 0.1875,                0.85371,               0.009307,               0.009307,               0.009307
                     17,                0.54399,                0.37934,                0.89696,                 0.9964,                0.99497,                 0.9949,                0.92547,                 0.4206,                0.18656,                0.85299,              0.0092575,              0.0092575,              0.0092575
                     18,                0.54046,                0.37704,                0.89568,                0.99632,                0.99518,                 0.9949,                0.92609,                0.41898,                0.18582,                0.85231,               0.009208,               0.009208,               0.009208
                     19,                0.53763,                0.37523,                0.89522,                0.99623,                0.99529,                0.99491,                0.92669,                0.41755,                0.18499,                0.85169,              0.0091585,              0.0091585,              0.0091585
                     20,                0.53542,                0.37407,                 0.8947,                0.99623,                 0.9953,                0.99491,                0.92718,                0.41603,                 0.1842,                0.85103,               0.009109,               0.009109,               0.009109
                     21,                0.53288,                0.37202,                0.89318,                0.99633,                 0.9953,                0.99491,                0.92772,                0.41462,                0.18352,                0.85041,              0.0090595,              0.0090595,              0.0090595
                     22,                0.52963,                0.36967,                0.89241,                0.99657,                0.99516,                0.99491,                0.92813,                0.41322,                0.18278,                0.84979,                0.00901,                0.00901,                0.00901
                     23,                0.52828,                0.36939,                0.89171,                0.99652,                0.99522,                0.99491,                0.92877,                 0.4116,                 0.1821,                0.84908,              0.0089605,              0.0089605,              0.0089605
