                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.8405,                 1.3094,                 1.0424,                0.93062,                 0.9407,                0.96528,                 0.8085,                 0.6297,                0.74402,                0.81824,                0.00333,                0.00333,                0.00333
                      2,                 0.8218,                0.72598,                0.96494,                0.81036,                0.81259,                0.90924,                0.71634,                0.74968,                 1.9984,                0.88808,              0.0066303,              0.0066303,              0.0066303
                      3,                 0.9292,                0.83807,                 1.0249,                0.86538,                0.83326,                0.90824,                0.68742,                0.80821,                 2.0999,                0.95738,              0.0098977,              0.0098977,              0.0098977
                      4,                0.94964,                 0.8377,                 1.0551,                 0.9301,                0.90323,                0.95997,                0.77502,                0.73231,                0.81222,                0.92194,              0.0098515,              0.0098515,              0.0098515
                      5,                0.88324,                 0.7355,                 1.0351,                0.95004,                0.93412,                0.97294,                0.79811,                 0.6892,                0.55249,                0.90479,              0.0098515,              0.0098515,              0.0098515
                      6,                 0.8171,                0.66463,                 1.0072,                0.95268,                0.95288,                 0.9757,                 0.8269,                 0.6105,                0.78361,                0.86137,               0.009802,               0.009802,               0.009802
                      7,                 0.7907,                0.63355,                0.99547,                0.95279,                0.94428,                0.98334,                 0.8443,                0.58312,                0.49496,                0.85465,              0.0097525,              0.0097525,              0.0097525
                      8,                0.75396,                0.59749,                0.98227,                0.96087,                0.96623,                0.98345,                 0.8503,                0.55844,                0.47359,                0.84443,               0.009703,               0.009703,               0.009703
                      9,                0.73005,                0.58003,                0.97686,                0.95814,                 0.9606,                0.98553,                0.85271,                0.55306,                0.44517,                0.83411,              0.0096535,              0.0096535,              0.0096535
                     10,                 0.7106,                0.55858,                0.96494,                 0.9553,                0.97306,                0.98449,                0.86117,                0.53165,                0.43495,                0.82512,               0.009604,               0.009604,               0.009604
                     11,                0.69169,                0.53508,                0.96148,                0.96381,                0.97117,                0.98395,                0.87054,                0.50017,                0.39243,                0.81873,              0.0095545,              0.0095545,              0.0095545
                     12,                0.67262,                0.51861,                0.94543,                0.96057,                0.96034,                0.98637,                0.88224,                0.49071,                 0.3953,                0.81096,               0.009505,               0.009505,               0.009505
                     13,                 0.6691,                0.51375,                0.95124,                0.95763,                0.96103,                 0.9887,                0.87947,                0.47999,                0.36942,                0.80411,              0.0094555,              0.0094555,              0.0094555
                     14,                0.65351,                 0.4987,                0.94478,                0.95753,                0.97075,                0.98766,                0.88474,                0.47524,                0.37577,                0.80614,               0.009406,               0.009406,               0.009406
                     15,                0.65348,                0.49826,                  0.943,                0.96839,                 0.9656,                0.98905,                0.89211,                 0.4651,                0.35449,                0.80335,              0.0093565,              0.0093565,              0.0093565
                     16,                0.63049,                0.48578,                0.93346,                0.96836,                0.97455,                0.98966,                0.89343,                 0.4748,                0.34614,                0.80323,               0.009307,               0.009307,               0.009307
                     17,                0.63471,                0.48145,                0.93399,                0.96397,                0.97427,                0.98787,                0.89233,                0.45152,                0.34016,                0.79728,              0.0092575,              0.0092575,              0.0092575
